Country,disaster,disaster_count,color_intensity
Dem. Rep. Congo,Biological,65,65
Nigeria,Hydrological,55,55
Kenya,Hydrological,55,55
Madagascar,Meteorological,52,52
Nigeria,Biological,48,48
Dem. Rep. Congo,Hydrological,45,45
Angola,Hydrological,44,44
South Africa,Hydrological,41,41
Somalia,Hydrological,41,41
Tanzania,Hydrological,39,39
Ethiopia,Hydrological,38,38
Uganda,Hydrological,36,36
Malawi,Hydrological,35,35
Algeria,Hydrological,33,33
Mozambique,Hydrological,33,33
Burundi,Hydrological,32,32
Niger,Biological,30,30
Niger,Hydrological,29,29
Sudan,Hydrological,28,28
Sudan,Biological,27,27
Rwanda,Hydrological,27,27
Uganda,Biological,27,27
Kenya,Biological,27,27
Mozambique,Meteorological,26,26
South Africa,Meteorological,25,25
Ghana,Hydrological,25,25
Mali,Hydrological,23,23
Ethiopia,Biological,23,23
Somalia,Biological,22,22
Zambia,Hydrological,22,22
Mozambique,Biological,21,21
Zimbabwe,Biological,21,21
Tanzania,Biological,20,20
Morocco,Hydrological,20,20
Chad,Hydrological,19,19
Benin,Biological,18,18
Burkina Faso,Hydrological,18,18
Chad,Biological,18,18
Namibia,Hydrological,18,18
Congo,Biological,17,17
S. Sudan,Hydrological,17,17
Senegal,Hydrological,16,16
Cameroon,Hydrological,16,16
Guinea,Hydrological,16,16
Mauritania,Hydrological,16,16
Central African Rep.,Hydrological,15,15
Guinea,Biological,14,14
Zambia,Biological,14,14
Côte d'Ivoire,Hydrological,14,14
Burkina Faso,Biological,14,14
Malawi,Biological,13,13
Angola,Biological,13,13
Cameroon,Biological,13,13
Congo,Hydrological,13,13
Sierra Leone,Hydrological,12,12
Uganda,Hydrological,12,12
Dem. Rep. Congo,Hydrological,12,12
Benin,Hydrological,12,12
Zimbabwe,Hydrological,12,12
Madagascar,Hydrological,11,11
Mozambique,Climatological,11,11
Ghana,Biological,11,11
Somalia,Climatological,11,11
Côte d'Ivoire,Biological,11,11
Kenya,Climatological,10,10
Gambia,Hydrological,10,10
Togo,Hydrological,10,10
Central African Rep.,Biological,10,10
Burundi,Biological,10,10
Central African Rep.,Meteorological,10,10
Ethiopia,Climatological,9,9
Réunion,Meteorological,9,9
Botswana,Hydrological,9,9
Mali,Biological,9,9
